dia_semana,total_posts,lambda_por_semana,lambda_por_dia
Domingo,2560,124.44444444444443,124.44444444444443
Jueves,3399,165.22916666666666,165.22916666666666
Lunes,2717,132.07638888888889,132.07638888888889
Martes,3346,162.65277777777777,162.65277777777777
Miércoles,2945,143.1597222222222,143.1597222222222
Sábado,3006,146.125,146.125
Viernes,3124,151.8611111111111,151.8611111111111
