dia_semana,0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Domingo,0.0,0.0,0.0,0.0,0.0,0.049,0.729,4.083,5.639,7.681,9.236,10.597,10.743,10.792,10.694,10.792,10.597,10.694,10.743,10.5,0.681,0.194,0.0
Jueves,0.0,0.0,0.049,0.0,0.0,0.0,0.194,4.521,8.847,11.521,13.319,13.951,13.903,14.049,14.097,14.049,13.757,14.146,13.903,14.194,0.583,0.049,0.097
Lunes,0.0,0.0,0.0,0.049,0.0,0.049,0.924,4.424,7.389,9.382,10.549,10.84,10.986,10.938,10.5,10.84,11.278,10.986,10.938,11.229,0.632,0.146,0.0
Martes,8.118,2.576,0.486,0.049,0.778,0.0,0.826,10.549,8.361,9.382,10.792,12.104,12.25,12.347,12.007,12.299,12.347,12.201,12.056,12.444,0.632,0.049,0.0
Miércoles,0.0,0.0,0.097,0.0,0.0,0.0,0.583,5.736,7.875,10.16,11.569,11.764,11.618,11.91,11.618,11.812,11.667,11.715,12.104,12.25,0.632,0.0,0.049
Sábado,0.0,0.0,0.0,0.0,0.097,0.0,0.681,2.868,7.049,10.792,11.132,12.979,12.59,12.833,13.076,12.396,12.299,12.785,12.153,11.91,0.486,0.0,0.0
Viernes,0.049,0.049,0.0,0.0,0.0,0.0,0.437,4.472,8.118,10.354,11.91,12.542,13.028,12.931,12.931,12.931,12.833,12.979,12.833,12.444,1.021,0.0,0.0
